,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,total_deaths_per_million,icu_patients,hosp_patients,weekly_hosp_admissions,daily_case_change_rate,daily_death_change_rate,hospitalization_rate,icu_rate,case_fatality_rate,7day_avg_new_cases,7day_avg_new_deaths
PC1,-0.2668911903500779,0.14860524052846136,-0.2732336962968866,0.2204403952964488,-0.2668911903262017,-0.2732336957511352,0.2760086363090301,0.24423894662420678,0.23043387469028703,0.2843678113159726,0.2853153067424919,0.2826954070691817,0.26926643490571966,0.22728783628366378,0.15426852201878222,0.2417946927983642
PC2,0.2277812898021571,0.3661569547107796,0.24784881253402313,0.21541434583231697,0.2277812898265969,0.24784881440473633,0.18436405512145526,0.30626180186306623,0.3298733859085258,0.032969813543136064,-0.0059102210084195465,-0.13401572988291902,-0.18834798779852474,-0.33034298579536364,0.38809155460199696,0.20493299866145068
PC3,-0.05332589192686666,-0.3870155227066527,0.0011788828131462648,0.44139121160839623,-0.053325891929158625,0.0011788706479595734,0.16488278284494073,0.023124542035768962,-0.06730222406046715,-0.33812380041600215,0.22716032545557696,-0.15661081000955343,-0.16585704705578252,-0.1835780699479824,-0.3695878079749938,0.47873892394869594
PC4,0.34719966213741105,-0.01829525638920976,0.17970975242320175,0.23960571983157272,0.34719966227632326,0.179709738657321,-0.20677174794589281,-0.13336585975423115,-0.13326631978212666,0.3107370561838973,0.4243064900163262,0.34701317143986515,0.3450274483468567,-0.04811064514372722,-0.19864206504765414,-0.020932395264873654
PC5,-0.1410210821221578,0.5330526839761058,-0.07676771870478447,0.5201759488793285,-0.14102108216627776,-0.076767722487077,-0.2615749856640771,-0.2793405902882583,-0.2587595982420366,0.06373494613847178,0.09935369136835931,-0.2712915823022913,-0.2412784589028919,0.10178300322790236,-0.009476137682434823,-0.15525752611737137
PC6,0.09437021568629408,-0.042341149768008984,0.016521000742628855,-0.038550780837870065,0.09437021568815745,0.016521003686978408,-0.3008468061919038,-0.17591927622969333,-0.23075410079113207,-0.25056035251889136,-0.05965524436584292,0.00758825252637842,0.15700859376052032,0.36337676750638237,0.5235046477776614,0.5536348476894062
PC7,0.08407974728504804,0.17792966749525335,0.18136018096196577,0.2764933470644935,0.08407974729765112,0.18136021982603112,0.4175451897803114,0.09214371501235855,-0.06417011220828978,-0.37826797423407366,-0.3027963166373077,0.03689245274866546,0.3455620637526101,0.443520092913809,-0.1737773374048622,-0.20630864876786284
PC8,-0.04960511611660286,0.3957263088491462,0.07509880476881026,-0.2713832299089042,-0.04960511590020231,0.07509881834161858,0.15889915601681118,-0.09934919816023105,-0.2607756156348673,0.30664711202256606,-0.32625515236115665,0.04391636100175642,0.050746066975208885,-0.12003999513592564,-0.4029560834659807,0.5183298320694932
PC9,0.23501876995934137,0.2593185377759051,-0.2710280688324219,-0.06543160627368699,0.2350187705588916,-0.2710281027041114,-0.4118553578243864,0.21245963639991694,0.4292080153592315,-0.25207792438743276,-0.061353176536416004,0.049938783803181744,-0.07003877660582038,0.17456753194211597,-0.38881805549839915,0.12549481332087709
PC10,0.16258646181888015,-0.051336509469403144,0.06184144495597863,-0.2546178728515789,0.16258646214968495,0.06184146918891137,0.2528481521143001,0.033156062505133435,0.008555296095009522,0.26897236767820837,0.37546115757939286,-0.44093484041529746,-0.2857866540274665,0.5531025621636046,-0.09627839000392632,0.048014747341121905
PC11,-0.1364997869295174,0.3754382749698957,0.0912898053684372,-0.4004511886341711,-0.13649978721370892,0.09128996021709787,0.04784062477763795,0.029327563761698754,-0.1190576069374232,-0.4933123514563681,0.5739030886773969,0.016789882154740282,0.15203308566666848,-0.17020112419458983,-0.026108031699000413,-0.04076138310986245
PC12,-0.3383393823174228,-0.073906337175344,0.4361795916752092,0.0221514399022208,-0.3383393825911439,0.4361796793030392,-0.41157288298298444,0.11796751537869742,0.34405147849299395,0.09257750879431524,-0.009691344863972544,-0.037190269881130784,0.054007800712714264,0.2086820100415943,-0.14657944373136364,0.07011818287567881
PC13,0.018342285435622212,-0.005855465143717375,-0.07418824128377907,-0.00958616081671398,0.018342286006522258,-0.07418806637748716,0.06855043183713816,-0.483338343086007,0.4119590751208975,0.03792374889318615,-0.005448461218063897,-0.5182843824417215,0.52968900504846,-0.1667188858531473,-0.0059906619157726135,0.04098372971378934
PC14,0.007772814867819676,-0.0565839918719904,-0.07448956031842442,0.023317131151219958,0.00777281562489128,-0.0744904655931362,-0.2267771812479252,0.6373849292208125,-0.3700262704870086,0.11809180763332605,-0.03377632165401709,-0.46155223641961696,0.38396880120384563,-0.11387722660308415,-0.012696833674082132,-0.04184581939188655
PC15,-0.00034783109923286395,7.615788878061278e-08,0.7071067831451339,-6.361883034310809e-08,0.0003477475495935402,-0.707106608168022,1.6159494690370745e-07,-4.5822623009437533e-07,2.8430889705147796e-07,-1.1664275426494995e-07,7.326489433419402e-08,2.222119392538587e-07,-1.5462562369431508e-07,6.50860296183591e-08,1.2665246342917299e-09,2.687677862388884e-08
PC16,0.707106695909639,9.471079476242039e-11,0.000347789127260259,-5.886872933569265e-11,-0.7071066954038294,-0.0003477895215662913,-3.659286068602441e-11,-1.9802152972925313e-11,2.1325272797634298e-10,1.3609467719444268e-10,-4.565786637655833e-11,-3.728400921332309e-10,2.5980874396314135e-10,7.753424291490063e-11,-2.3415854151498383e-10,1.5425720423234424e-10
